Year,State,Healthcare_Spending_Per_Capita,Death_Rate_Per_100000,Alzheimers_Disease,Cancer,Diabetes,Heart_Disease,Influenza_and_Pneumonia,Cancer_Deaths_Per_100000,Diabetes_Deaths_Per_100000,Heart_Disease_Deaths_Per_100000,Influenza_Pneumonia_Deaths_Per_100000,Alzheimers_Disease_Deaths_Per_100000,Percent_Adults_Smoke,Percent_Adults_Physical_Activity,Percent_Adults_Obese,Median_Household_Income,Percent_Poverty_Rate
2022,AK,14694,821.3,178,1076,184,1013,75,145.3,25.6,145.7,10.4,33.1,0.142,0.787,0.321,89740,0.114
2022,AL,9730,989.1,2655,10328,1645,14958,957,154.4,25.4,234.2,14.9,42.2,0.139,0.695,0.383,59910,0.165
2022,AR,9928,999.7,1577,6638,1397,8664,653,168.1,36,224.1,17.2,41,0.17,0.682,0.374,73450,0.168
2022,AZ,9294,784.6,2823,13171,2423,14593,962,132.9,25.1,148.5,10.1,28.4,0.115,0.768,0.332,53980,0.126
2022,CA,10999,686,17363,60449,11618,66340,5308,129.8,25,142.4,11.5,37.5,0.091,0.803,0.281,85300,0.121
2022,CO,9224,736.3,1871,8324,1215,8389,469,124.5,18.5,131.4,7.3,31.4,0.1,0.831,0.25,89930,0.092
2022,CT,13167,716.8,1080,6658,746,6899,563,133.6,15.2,137.8,11.2,21.5,0.09,0.771,0.306,90730,0.099
2022,DE,13560,829.1,435,2373,361,2220,146,160.7,25.1,156.8,10.1,31.5,0.119,0.77,0.379,80750,0.087
2022,FL,10420,714.7,6397,47035,7549,49877,2887,135.8,22.3,140.9,8.3,17,0.101,0.775,0.316,65370,0.127
2022,GA,9296,871.6,4219,18302,2693,21728,1333,147,21.9,183.9,11.3,39.3,0.116,0.762,0.37,67730,0.126
2022,HI,11060,615.9,575,2614,363,2862,281,122.4,17.2,128.4,12.4,22,0.093,0.79,0.259,91010,0.106
2022,IA,10066,798,1348,6285,1009,7786,500,146.1,24,176.8,11.5,29.4,0.137,0.739,0.374,70030,0.11
2022,ID,8506,771.4,848,3137,473,3491,201,133.7,20.5,156.3,9.3,39.5,0.114,0.778,0.332,76320,0.102
2022,IL,10621,784.9,4111,23456,3463,26781,2011,145.1,21.8,166.6,12.7,25.6,0.118,0.772,0.334,72580,0.12
2022,IN,11128,923.4,2259,13873,2493,15385,887,162.5,29.8,185,10.7,27.8,0.153,0.724,0.377,78020,0.124
2022,KS,9791,873.2,944,5512,963,6440,486,148.8,26.2,173.2,13.2,25.2,0.131,0.767,0.357,73040,0.123
2022,KY,10895,1043.8,1509,10300,1668,11654,888,177.3,29.4,208.6,16.1,28.4,0.166,0.744,0.377,55870,0.169
2022,LA,11061,974.7,2094,9193,1655,12284,586,160.3,29.9,224,10.7,40,0.155,0.715,0.401,58320,0.185
2022,MA,14154,693.5,1596,12436,1503,12427,934,132.2,16.1,132.3,10.1,17,0.088,0.796,0.272,75160,0.104
2022,MD,11412,746.5,1186,10819,1796,12086,708,136.8,23.1,155.8,9.3,15.5,0.088,0.788,0.332,108200,0.096
2022,ME,12950,844.3,543,3428,603,3592,281,154.3,28.2,167.1,13.3,24.9,0.123,0.779,0.331,93550,0.103
2022,MI,10463,855.4,4200,21032,3418,27266,1442,154.4,25.6,206.3,11,32.4,0.136,0.764,0.345,68990,0.133
2022,MN,11474,710.3,2358,10284,1514,9175,527,139,20.5,124.1,7.3,31.6,0.111,0.802,0.336,90390,0.096
2022,MO,10458,916.7,2620,13071,1878,16143,1098,159.6,23.5,199.8,13.7,32.5,0.15,0.754,0.364,48610,0.128
2022,MS,9747,1073.3,1679,6665,1256,8858,761,178.4,34.7,248,21.1,48.5,0.149,0.692,0.395,71520,0.191
2022,MT,10912,795.9,338,2234,329,2539,113,142.2,22,165.9,7.4,22.5,0.131,0.799,0.305,72970,0.125
2022,NC,9555,877.1,4272,20409,3834,21763,1523,149,28.8,165.8,11.7,33.9,0.127,0.779,0.341,72330,0.13
2022,ND,11830,739.2,336,1214,234,1538,125,128.4,25.1,155,13,31.6,0.135,0.755,0.354,75910,0.111
2022,NE,11087,773.5,746,3490,539,3804,288,142.2,22.1,154.3,11.9,30,0.126,0.74,0.353,65070,0.105
2022,NH,12560,749.7,462,2908,454,2951,163,141.4,22.3,147.5,8.5,23.9,0.095,0.795,0.302,78360,0.068
2022,NJ,12663,683.6,2320,15330,2099,18707,1149,125.3,17.3,152.8,9.5,18.8,0.09,0.783,0.291,84970,0.097
2022,NM,9411,901.4,733,3646,860,4369,365,127.5,31.2,156.8,13.4,26.6,0.143,0.768,0.324,92340,0.178
2022,NV,8948,842.1,863,5420,898,7337,569,138.9,23.4,196.8,15.4,25.3,0.144,0.741,0.335,78720,0.126
2022,NY,15330,664.5,3265,32655,4788,43237,4065,122.4,18.2,159.2,15.1,11.7,0.104,0.754,0.301,56420,0.142
2022,OH,11134,917.2,4953,24616,4268,30041,1906,155.5,27.6,193.9,12.5,32.3,0.154,0.756,0.381,67520,0.134
2022,OK,9847,1025.6,1613,8378,1586,12268,656,171.6,33.8,257.1,14,34.7,0.146,0.705,0.4,63440,0.156
2022,OR,10637,811.3,2030,8485,1454,8152,370,147,25.4,145.4,6.7,37,0.119,0.81,0.309,86780,0.119
2022,PA,12448,818.2,4011,27648,4124,32522,2022,148.7,22.6,173.4,10.9,20.9,0.129,0.786,0.334,72210,0.119
2022,RI,12050,714,475,2091,293,2369,91,136.5,18.9,152.6,6.1,29.8,0.104,0.761,0.308,80650,0.108
2022,SC,9104,918.8,2429,11015,1784,12038,697,153.2,25.8,177.7,10.3,37.4,0.129,0.743,0.35,61770,0.141
2022,SD,13349,801,435,1705,339,1850,130,144.7,29.4,158.2,11.3,36.5,0.128,0.757,0.368,67180,0.112
2022,TN,9839,1009.2,2933,14625,2722,18727,1330,162.3,31.2,218.3,15.6,36,0.171,0.721,0.389,65380,0.134
2022,TX,8787,816.9,10427,43403,7853,50672,3025,140.8,25.6,172.3,10.3,38.8,0.114,0.754,0.355,74640,0.139
2022,UT,8074,755,1057,3501,763,4460,266,116.1,25.4,159.4,9.3,39.8,0.061,0.826,0.311,95800,0.081
2022,VA,9656,794.1,2506,15842,2875,16902,1068,144.8,26.9,159.2,10,24.4,0.108,0.8,0.352,72190,0.107
2022,VT,13252,757.6,329,1485,179,1589,71,150.2,18.9,165.1,7.3,34.5,0.107,0.818,0.268,85170,0.099
2022,WA,9743,757.9,3695,13432,2199,13218,803,140.9,23.3,142.7,8.8,41.6,0.088,0.833,0.317,89430,0.1
2022,WI,10402,791.5,2361,11654,1490,13128,638,145.3,19.1,166.6,8.2,30.3,0.128,0.783,0.377,52460,0.107
2022,WV,13665,1115.6,755,4679,1056,5399,535,176.3,41.1,209.5,21.5,29.5,0.199,0.695,0.41,73330,0.178
2022,WY,11592,826.8,240,1084,180,1150,82,143,24.5,157.1,12.1,34.7,0.143,0.773,0.343,73090,0.116
2021,AK,14201,931,135,1093,184,1011,42,156,27,154.7,7.2,26.4,0.152,0.798,0.335,81130,0.11
2021,AL,9425,1134.2,2725,10429,1652,15173,1034,160.2,26.3,247.5,16.8,46.8,0.148,0.68,0.399,56930,0.16
2021,AR,9603,1097.8,1559,6516,1466,8547,534,168.2,39.3,231,14.7,43.2,0.178,0.691,0.387,70820,0.164
2021,AZ,8946,908.5,2754,12813,2559,14550,932,134.7,27.3,158.3,10.2,30.5,0.124,0.784,0.313,50780,0.129
2021,CA,10553,760.4,16911,59503,11440,65471,4638,132.4,25.5,147.8,10.5,39.5,0.089,0.811,0.276,81580,0.123
2021,CO,8909,799,1778,8058,1204,8081,290,126.5,19,135.1,4.8,32.6,0.113,0.832,0.251,84950,0.099
2021,CT,12748,725.1,1049,6526,770,6731,406,133.5,15.9,136.7,8.3,21.2,0.104,0.787,0.304,80960,0.101
2021,DE,13140,867,381,2178,334,2183,118,153.2,23.9,162.7,8.6,29.7,0.118,0.743,0.339,68690,0.112
2021,FL,10111,832.9,6716,46937,8039,50100,2845,141.6,24.8,151.3,8.8,19.6,0.121,0.748,0.301,59730,0.131
2021,GA,8965,997.6,4378,18136,2943,21931,1273,151.5,25.1,195.2,11.3,44.5,0.131,0.757,0.339,61500,0.141
2021,HI,10571,630,562,2562,355,2651,210,125.4,17.7,126.5,9.8,23.9,0.093,0.807,0.25,82200,0.113
2021,IA,9799,841.8,1185,6258,1025,7704,366,150.9,25,184.9,8.7,28.2,0.141,0.751,0.364,70190,0.111
2021,ID,8262,881,789,3130,541,3429,161,140.4,24.4,166.4,7.8,40.5,0.13,0.784,0.316,72430,0.112
2021,IL,10286,825.3,4025,23609,3387,26291,1681,150,21.8,169.8,11,26.6,0.106,0.755,0.342,76920,0.12
2021,IN,10728,999.3,2238,13983,2539,15209,728,169.7,31.3,191.2,9.2,29.7,0.157,0.743,0.363,79250,0.121
2021,KS,9474,915,805,5455,917,6315,396,150.8,25.6,176.1,11.1,22.6,0.139,0.769,0.36,75980,0.12
2021,KY,10521,1139.6,1632,10250,1765,11697,739,181.1,32.5,217.5,13.8,32.7,0.183,0.703,0.403,55630,0.165
2021,LA,10648,1094.6,2121,9246,1943,12564,647,163.9,35.7,235.5,12.2,42.9,0.172,0.725,0.386,57210,0.196
2021,MA,13692,721.4,1558,12461,1537,11947,817,137.4,17.3,134,9.1,17.7,0.094,0.798,0.274,71140,0.104
2021,MD,11059,805.5,1129,10545,1734,12138,629,139.2,23.2,165.2,8.7,16.1,0.093,0.793,0.343,97330,0.102
2021,ME,12464,889.4,539,3385,555,3357,211,161.3,27,168.4,10.6,27.4,0.133,0.743,0.319,86570,0.122
2021,MI,10157,943.1,4198,21211,3440,26664,1321,160.1,26.7,209.6,10.4,34.4,0.155,0.773,0.344,64490,0.133
2021,MN,11149,756.5,2251,10178,1575,8568,392,143.2,22.6,123.9,5.7,33.1,0.122,0.8,0.324,80440,0.089
2021,MO,10135,971.9,2517,13153,1876,15713,884,164.2,24,202.4,11.5,33,0.157,0.752,0.373,46640,0.127
2021,MS,9466,1204.5,1694,6617,1485,8837,697,181.8,42.1,255.2,20,52.8,0.177,0.684,0.391,63590,0.194
2021,MT,10540,909.9,341,2157,314,2536,105,142.2,21.6,175.2,7.5,24.7,0.129,0.792,0.318,65000,0.113
2021,NC,9239,960,4260,20229,3931,21302,1537,153.6,30.4,170.9,12.4,36.7,0.129,0.783,0.36,64340,0.137
2021,ND,11471,794.2,325,1278,228,1442,125,137.8,25.2,152.8,13.1,32.8,0.131,0.748,0.352,72920,0.098
2021,NE,10722,818.6,687,3578,583,3776,239,150.9,24.6,160.8,10.1,29.6,0.124,0.76,0.359,62890,0.102
2021,NH,12161,782.9,422,2831,393,2845,122,145.7,20.8,154.1,6.5,23.5,0.11,0.793,0.306,78110,0.07
2021,NJ,12205,731.1,2399,15481,2073,18508,1156,130.6,17.6,157.5,9.9,20.6,0.103,0.766,0.282,88840,0.103
2021,NM,9118,995.5,634,3822,817,4182,297,137.3,31,156.5,11.5,24.6,0.131,0.776,0.346,88560,0.187
2021,NV,8675,937.3,804,5318,869,7352,459,143.2,23.5,208.1,12.8,26.1,0.142,0.772,0.313,68880,0.141
2021,NY,14408,713.1,3582,32601,4841,42434,3757,125.3,18.8,162.3,14.4,13.6,0.119,0.743,0.291,53460,0.139
2021,OH,10790,1012.8,4947,25077,4461,30578,1673,163,29.5,204.7,11.4,34.2,0.16,0.743,0.378,62690,0.133
2021,OK,9566,1121.1,1580,8368,1619,12158,561,175.1,35.1,264.2,12.3,36,0.152,0.723,0.394,60100,0.155
2021,OR,10302,861,2047,8596,1434,7823,226,155.2,25.9,148.5,4.4,41,0.117,0.808,0.304,81850,0.125
2021,PA,12036,895,4109,27664,4176,32478,1844,152.9,23.5,180.6,10.3,22.7,0.131,0.77,0.333,72630,0.121
2021,RI,11725,781.3,445,2115,289,2359,108,142,19.5,158.7,7.4,29.7,0.109,0.776,0.301,74980,0.115
2021,SC,8863,1038.1,2419,10593,1753,12118,611,155.2,26.3,189.1,9.4,40.9,0.141,0.75,0.361,62540,0.149
2021,SD,12806,858.9,396,1739,306,1695,124,154.8,28.9,153,11.4,35.6,0.129,0.766,0.384,73890,0.125
2021,TN,9543,1121.3,2879,14481,2681,18468,1225,166.3,31.4,223.8,14.9,37.7,0.174,0.73,0.35,62170,0.137
2021,TX,8548,942.1,10437,42552,8136,50584,2938,143.3,27.5,180.7,10.5,41.9,0.124,0.76,0.361,67400,0.143
2021,UT,7793,815.8,998,3492,837,4275,215,121,29.2,162.4,8.1,40.7,0.065,0.825,0.309,87650,0.082
2021,VA,9377,866.5,2582,15724,2667,16654,963,150.5,25.8,167.2,9.7,27.5,0.106,0.805,0.342,76080,0.103
2021,VT,12918,791.2,337,1446,158,1585,38,154,17.9,175.7,4.5,38.8,0.128,0.834,0.29,80270,0.104
2021,WA,9471,796.4,3644,13547,2237,12789,496,149.3,24.8,147.7,5.9,45.5,0.098,0.832,0.288,87650,0.102
2021,WI,10142,837,2371,11336,1686,12791,550,147.2,22.6,171.7,7.5,33,0.113,0.812,0.339,46840,0.109
2021,WV,13129,1229.1,851,4820,1204,5549,413,184.7,47.6,223,16.5,35.4,0.199,0.702,0.406,69940,0.168
2021,WY,11167,954.7,208,1151,172,1116,79,156.7,23.9,159.4,11.9,32.7,0.155,0.779,0.32,71050,0.114
2020,AK,13642,707.1,139,1043,174,915,52,143.7,24.8,139.8,8,26.8,0.165,0.798,0.319,74750,0.11
2020,AL,9280,1316.2,3093,10456,1450,14739,1114,161.6,23.6,237.5,17.7,50.8,0.159,0.715,0.39,54690,0.162
2020,AR,9338,1257.5,1782,6496,1306,8621,691,163.8,33.8,222.5,18.1,45.6,0.187,0.696,0.364,67090,0.167
2020,AZ,8756,1020.7,3238,12676,2566,14196,1113,127.7,26.5,144.8,11.6,32.7,0.127,0.78,0.309,50780,0.133
2020,CA,10299,812.4,18775,59778,11642,66538,6062,130.3,25.4,144,13.2,40.6,0.083,0.803,0.303,77650,0.123
2020,CO,8583,807.9,2164,8252,1168,8023,448,127.2,18,128.1,7.3,36.9,0.117,0.836,0.242,83780,0.096
2020,CT,12489,1064.2,1084,6638,861,7110,527,133.8,17.5,138.4,10.3,20.3,0.108,0.8,0.292,79430,0.1
2020,DE,12899,1122,474,2141,326,2171,156,151.1,23.8,159.6,11.6,35.1,0.137,0.746,0.365,70020,0.107
2020,FL,9865,869.5,7274,45800,7528,49287,3191,136.3,22.8,143.1,9.5,19.8,0.134,0.744,0.284,57760,0.131
2020,GA,8758,1102.8,4782,17827,2833,21116,1575,147.6,23.9,183.7,13.8,45.9,0.145,0.746,0.343,59270,0.137
2020,HI,10291,962.4,572,2519,339,2623,241,123.8,17,125,11.1,22.8,0.106,0.816,0.245,80830,0.104
2020,IA,9789,1157.6,1467,6304,1047,7499,538,147.8,24.7,172.9,12.4,31.9,0.146,0.765,0.365,66810,0.111
2020,ID,8148,855.2,749,3004,488,3191,179,136.5,22.7,151.9,8.6,36.7,0.134,0.794,0.311,68820,0.113
2020,IL,10190,897.8,4636,24015,3485,27460,2428,150.9,22.2,171.4,15.4,28.7,0.115,0.77,0.324,66730,0.12
2020,IN,10517,1053.9,2803,13664,2446,15169,1021,162.7,29.6,183.9,12.6,34.3,0.183,0.734,0.368,74330,0.125
2020,KS,9408,1137.4,979,5538,1041,6264,517,151.4,28.5,167,13.8,25.3,0.152,0.785,0.353,73080,0.12
2020,KY,10257,1100.3,1719,10181,1549,11345,898,177.3,27.7,204.5,16.3,32.3,0.199,0.697,0.366,56760,0.167
2020,LA,10515,1248.1,2450,9195,1843,12255,778,159.9,33.1,221.5,14.2,45.8,0.164,0.708,0.381,51190,0.191
2020,MA,13319,992,1751,12376,1557,11781,1331,135.2,17.2,126.9,14.5,18.6,0.096,0.813,0.244,63690,0.102
2020,MD,10839,1165.8,1172,10799,1784,12624,907,142.3,23.9,168.3,12.3,15.8,0.105,0.796,0.31,94790,0.095
2020,ME,12077,1221.7,587,3432,501,3035,237,161.5,23.9,146.2,11.5,27.9,0.145,0.788,0.31,87810,0.111
2020,MI,9897,989.7,4864,21158,3399,27127,1886,157.3,26,205,14.4,36.9,0.156,0.796,0.352,64390,0.135
2020,MN,10846,1175,2587,9944,1493,8562,559,138.7,21,118.1,7.9,35,0.13,0.813,0.307,78750,0.093
2020,MO,9921,1354.7,2873,12907,1844,15934,1167,157.9,23.1,196.7,14.3,34.9,0.162,0.751,0.34,45130,0.129
2020,MS,9394,925.7,2018,6582,1460,8809,904,176,41,245.6,25.1,58,0.174,0.69,0.397,62180,0.195
2020,MT,10212,1201.1,346,2138,342,2424,120,141.5,23.5,162.7,8,23.8,0.142,0.812,0.285,56740,0.122
2020,NC,8917,1051.6,4713,19996,3554,20373,1804,148.4,26.9,156.2,14,37.5,0.151,0.778,0.336,61160,0.136
2020,ND,11301,1032.5,426,1308,225,1449,147,139.5,24.3,147.3,15.2,39.7,0.151,0.762,0.331,68660,0.105
2020,NE,10514,1113,808,3541,624,3532,298,147.6,26.2,143.8,12.1,32.2,0.127,0.781,0.34,60430,0.106
